生命线指宽,智慧线指宽,感情线指宽,生命线是否过中线,智慧线是否过小指无名指中点,智慧线到中点距离,感情线是否过食指中指中点,感情线到中点距离,感情线末尾与中线夹角
3.1476006003416366,2.609078174257005,2.9686574660287635,False,False,-0.47067931747081504,True,0.14166016568688228,23.677822682569342
3.1714946250414786,2.305092695302781,2.8419144336295203,False,False,-0.8899866001209882,True,0.23703306288197498,22.037501806973836
3.0165828365211906,2.4947722347487225,3.261967470335641,False,False,-0.688346363516276,True,0.5013153045119324,24.900058554620642
3.1568829101854137,2.6310730118949746,3.3058199035267957,False,False,-0.6216254294247413,True,0.6262560436278402,23.585560218346274
2.8353474153220484,3.089858410872413,3.1475506806034064,False,False,-0.5376814939437667,True,0.3065072109958668,28.834677415897303
3.192472769817453,3.350025762138863,3.310020584607198,False,True,0.011835727475519718,True,0.5112722278419395,31.374107562578686
3.020723081472783,2.190612844574135,2.8184910622106587,False,False,-0.8170404635007322,True,0.18456928304574466,33.24788551982357
3.504419955113331,2.483979096188388,3.239800396230108,False,False,-0.6957181442558147,True,0.46338231903578564,37.387796160300994
2.515546787174576,2.7857174202236012,3.3025145073336684,False,False,-0.33212808930773596,True,0.43721048548732133,24.06465912610068
2.7629651865618596,3.4856964190548054,3.213831348291925,False,True,0.010768113186781633,True,0.4590252139675665,31.283840010059436
2.5547770151561826,3.524443918386434,3.2131099581810925,False,True,0.19031556970839045,True,0.32859336656004323,31.131934397303965
3.9524408369075346,3.0067668428766408,3.163152007296494,False,False,-0.4150258381108459,True,0.4310506044362434,19.010751971052443
2.207227706825336,3.3193463553318003,3.2554202490290294,False,False,-0.1894903644111825,True,0.467892709458383,22.233277084963163
3.4391684921900554,3.4051408543209507,3.388264155055235,True,True,0.11081257441798976,True,0.6184750617679093,28.07246732094933
2.8270338692155876,3.18832970270679,2.9189922991639454,False,False,-0.2088987987913832,True,0.13455629763590576,35.91201980349747
2.8671394522414793,3.1154397502776425,3.323848637063724,False,False,-0.410946253072138,True,0.478282592917864,37.442629422356106
3.5851647344065176,3.1751510491786297,2.528830402881925,False,False,-0.40130728217597716,False,-0.38865643699882996,38.40636203933727
3.3428160701719394,3.084601750493163,2.6468544892059236,False,False,-0.4333734153756693,False,-0.13450612229177078,49.17628287277162
2.9791895911372106,3.2814217276604434,2.6630455151800074,False,False,-0.1301924621644875,False,-0.1758996658631835,47.35002886670347
3.005019031305722,3.0875566149955125,2.557760991825952,False,False,-0.4371195386662156,False,-0.1294542100476469,51.83548004550974
3.283739439870916,3.0489085930474573,2.5420911642162265,False,False,-0.6909015970901655,False,-0.08496458829495696,58.486790958786486
3.698815195759284,3.2470413116449897,2.3644804621892255,False,False,-0.42267851980821197,False,-0.33021733888505583,52.20612378512371
3.0010806697792063,3.3301758178642786,2.4292534239000765,False,False,-0.49561302144535924,False,-0.2991456711781253,56.09929943683727
2.9032872036837367,3.084771912934215,2.3186759989916856,False,False,-0.5956568636302921,False,-0.22827841692403694,51.387514776978094
3.4344767183116276,2.8386374494375604,2.538920655240489,False,False,-0.5472509762045813,False,-0.11475426597411685,33.34169773036621
3.676552447566174,3.155787749370988,2.3534909002134725,True,False,-0.31344876990222614,False,-0.4146073671546351,27.20203693355826
3.367992555616057,3.054442481842395,2.430099728218318,True,False,-0.3964293995210041,False,-0.22521016809193115,29.26254212554487
3.1623458778148286,2.790016094760243,2.3206937986184513,False,False,-0.6040127689610765,False,-0.19782943224932134,27.592370862085545
2.6843626342331333,2.947715113341967,2.2260971530461258,True,False,-0.4365699035524492,False,-0.40459613058918803,27.63301471726102
3.4257673869503455,2.8304087261836006,2.1735680058992375,True,False,-0.5648588966087725,False,-0.23700850205821553,29.850502341603885
3.032734496424789,2.9073639733204497,2.2986856832723404,False,False,-0.5519607932684747,False,-0.23163537338759177,34.93297533844631
3.070550372341425,3.112835186997511,2.288415664364601,False,False,-0.32375309409012043,False,-0.3405456739211635,33.29768232305533
3.279715311459175,3.7303586701642386,2.4954337179582207,True,True,0.004707609163915398,False,-0.2972196561125873,43.59932721711593
3.412745408189543,3.3394905325673103,2.536312987465287,True,False,-0.02399909463371904,False,-0.25132663110081743,39.059078374074204
3.418551261931729,3.6442207396261215,2.855388233730658,True,True,0.10406813926411171,False,-0.07581504118552615,42.62162904813587
3.048453455453738,3.4176238059963002,2.7419136699895432,True,False,-0.1606175971733752,False,-0.06518015780884151,49.70270389549282
3.3550784539423337,3.6333027043386523,2.5774959512454365,True,True,0.17894721312476472,False,-0.22097868596854808,39.97735004271274
3.443351820802368,3.113954400908096,2.6685851617799465,False,False,-0.43045734287690135,False,-0.05242163365332725,40.740664072832715
3.99208349029379,3.4444605735088785,2.4201005113128264,True,False,-0.1162166616696601,False,-0.41185028645221744,42.40005598890613
4.1641163803625085,3.593439502163925,2.3783896979701553,True,True,0.02096586332006854,False,-0.4601072632756916,36.667121846419974
3.390641003323255,3.0250423970521854,2.564184019596878,True,False,-0.19717007398316747,False,-0.34038789798942015,32.46517731136552
3.31463667171579,3.1395194319824147,2.690213985500826,True,False,-0.2238342658651378,False,-0.14481027288219891,26.011635206559134
3.223146804228914,3.136802371471974,2.649068567309066,True,False,-0.1452371932620131,False,-0.2209809074421905,35.86980408091078
3.3262060448172317,2.9873804425741803,2.361702330951792,True,False,-0.2535515795601326,False,-0.47499245363550924,35.83923737515339
3.7701345391206114,3.3074930184159474,2.350275434079674,True,False,-0.30213394998993903,False,-0.2636276112057144,54.286724144652595
